nom,latitude,longitude,description,adresse_brut,type_lieu,public_cible,contact_telephone,horaires_ouverture_brut,services
Centre d'animation Saint Pierre,44.83958658,-0.5728610355,"Le centre d'animation Saint-Pierre fait partie de l'association Centres d'animation Bordeaux est ouvert à tous et à vocation sociale, familiale, et culturelle. Il s'adresse aux habitants du quartier, associations, partenaires et acteurs qui partagent les mêmes valeurs : respect, hospitalité, citoyenneté, responsabilité et le principe de laïcité.",4 rue du Mulet,Association,Tout public,05 56 48 16 39,"Mardi et Mercredi : 9h-12h30/14h-19h, Jeudi : 10h-12h30/14h-18h(uniquement le matin si ouverture le samedi 1er du mois) Vendredi: 14-18h. 1er Samedi du mois: 14h-18h (hors vacances scolaires).",Accès à un équipement informatique
Astrolab’,44.82469917,-0.5519600654,"Astrolab’, association créée en 1996, est agréée Espace de vie sociale et d’éducation populaire.Implantée sur le territoire de Bordeaux Sud, c’est un équipement plurigénérationnel qui s’adresse aux enfants, aux adolescents, aux adultes et aux familles. Les actions de l’association se developpent autour de : - l’accompagnement scolaire, élémentaire 1 et secondaire, - un centre de loisirs enfants & adolescents, - un accompagnement des initiatives des habitants, - la participation à la vie associative locale du territoire.",40 rue Laffiteau,Association,"Allocataires,Demandeurs d'emploi,Jeunes,Séniors",06 08 17 88 47,Vendredi : 14h-16h,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Bibliothèque Jean de la Ville de Mirmont,44.83219171,-0.6108992928,"Au cœur du "" village Saint Augustin "", la nouvelle bibliothèque du quartier vous propose des collections riches et variées (albums, romans, BD, films, presse...), offrant désormais une place de choix à la musique (3000 CD) et aux nouvelles technologies (salle multimédia, tablettes, jeux vidéo...) dans une ambiance chaleureuse.",Place de l'Eglise Saint-Augustin,Bibliothèque / Médiathèque,Tout public,05 24 99 60 30,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h, Jeudi et Vendredi : 14h-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
UNADEV (Union Nationale des Aveugles et Déficients Visuels),44.83491447,-0.5760437952,L'Union Nationale des Aveugles et Déficients Visuels (UNADEV) créée en 1929 à Bordeaux est une association reconnue d'assistance et de bienfaisance. Nos actions portent sur trois missions : Accompagner et aider les personnes déficientes visuelles pour leur insertion sociale et professionnelle ; Sensibiliser et informer le grand public et les décideurs ; Soutenir la recherche médicale et la prévention des maladies cécitantes.,12 rue de Cursol,Association,,05 56 33 85 85,Lundi au Vendredi : 9h-17h30.,Accès à un équipement informatique
CPAM de la Gironde - Pelleport,44.82051322,-0.5680850775,"Les principales missions de la CPAM : gérer les droits à l'assurance maladie des assurés sociaux, verser les prestations dues à chaque assuré, appliquer le plan d'action relatif à la gestion du risque en relation avec les professionnels de santé ; mettre en œuvre les campagnes de prévention, mettre en œuvre la politique d’action sanitaire et sociale par des aides individuelles aux assurés ou des aides collectives aux associations, faciliter l’accès aux droits et aux soins.",232 Rue Pelleport,"Organisme de sécurité sociale (CAF, CPAM, CARSAT, MSA…)",Tout public,3646,Du Lundi au Vendredi : 09h-17h.,Accès à un équipement informatique
FAits de Coeur’S,44.8250663,-0.5518514354,Lutte contre l’isolement des seniors.,45 rue Son Tay,Association,Séniors,06 48 53 07 78,Selon planning disponible sur notre site.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
La Halle des Douves,44.83062642,-0.5662047329,"L'association Halle des Douves a en charge l'animation et la programmation du marché des Douves, maison de vie associative et des habitants. L'association compte environ 180 à 200 associations adhérentes, une soixantaine de particuliers et un millier d'adhérents à son café associatif.",4 bis rue des Douves,Association,"Jeunes,Personnes en situation de handicap,Séniors",05 57 71 75 93,Du Mercredi au Samedi : 10h-22h et le Mardi : 13h30-22h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
PIMMS de Bordeaux,44.82753104,-0.5588204015,"Favoriser l’accès aux services publics et améliorer la vie quotidienne des populations en proposant à ses utilisateurs des services de type généraliste (information de premier niveau, orientation, accompagnement dans les démarches, services de proximité), des actions de prévention et de médiation visant à réduire leurs éventuelles difficultés.",213 bis cours de la Marne,Point Information Médiation Multi Services (PIMMS),Tout public,05 56 85 85 45,"Lundi, Mercredi, Jeudi,Vendredi : 9h30-12h30 / 13h30-17h.  Mardi : 14h-18h30.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Sesame,44.83379091,-0.5657544516,"L'espace de médiation est un service d'accompagnement au numérique pour le grand public. Il propose : de fournir ponctuellement des moyens d'accès à Internet et d'utilisation de logiciels, d'accompagner le grand public dans l'acquisition de compétences informatiques de base, de sensibiliser aux risques et aux responsabilités dans l'utilisation du numérique et à une utilisation raisonnée et responsable d'Internet.",13 place Canteloup,Espace Public Numérique (EPN),Tout public,05 56 10 26 13,"Du Lundi au Jeudi : 9h-12h/13h-17h30, Vendredi : 9h-12h. Fermé en aout.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Bibliothèque La Bastide,44.84413592,-0.542196721,"C'est la bibliothèque de référence sur la rive droite, dans un quartier en pleine mutation.Elle chouchoute les tout petits, les collégiens... et les mélomanes. La bibliothèque met à votre disposition livres, DVD, revues, mais aussi un beau fonds de CD musicaux et six postes Internet. Les collégiens du quartier sont accueillis à des tables de travail et guidés dans leurs recherches.",18-22 rue Alexander Fleming,Bibliothèque / Médiathèque,Tout public,05 56 86 15 28,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h, Jeudi et Vendredi : 14h-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
